Subspace projection OFF
Noisy test set OFF
Reduced training set ON
[1,   500] loss: 2.303
[1,  1000] loss: 2.301
[1,  1500] loss: 2.290
[1,  2000] loss: 2.165
[1,  2500] loss: 2.019
[1,  3000] loss: 1.899
[1,  3500] loss: 1.805
Subspace projection OFF
Noisy test set OFF
Reduced training set ON
[1,   500] loss: 2.305
[1,  1000] loss: 2.291
[1,  1500] loss: 2.216
[1,  2000] loss: 2.108
[1,  2500] loss: 2.016
[1,  3000] loss: 1.929
[1,  3500] loss: 1.879
[1,  4000] loss: 1.780
[1,  4500] loss: 1.770
Subspace projection OFF
Noisy test set OFF
Reduced training set ON
[1,   500] loss: 2.304
[1,  1000] loss: 2.293
[1,  1500] loss: 2.203
[1,  2000] loss: 2.027
[1,  2500] loss: 1.936
[1,  3000] loss: 1.872
[1,  3500] loss: 1.793
[1,  4000] loss: 1.726
[1,  4500] loss: 1.730
[1,  5000] loss: 1.637
[1,  5500] loss: 1.625
[1,  6000] loss: 1.611
[1,  6500] loss: 1.583
[1,  7000] loss: 1.544
[1,  7500] loss: 1.549
[1,  8000] loss: 1.504
[1,  8500] loss: 1.532
[1,  9000] loss: 1.568
[1,  9500] loss: 1.490
[1, 10000] loss: 1.496
[1, 10500] loss: 1.501
[1, 11000] loss: 1.446
[1, 11500] loss: 1.423
[1, 12000] loss: 1.401
[1, 12500] loss: 1.427
--> Accuracy after epoch 0: 49 %
[2,   500] loss: 1.415
[2,  1000] loss: 1.374
[2,  1500] loss: 1.384
[2,  2000] loss: 1.355
[2,  2500] loss: 1.353
[2,  3000] loss: 1.393
[2,  3500] loss: 1.329
[2,  4000] loss: 1.322
[2,  4500] loss: 1.323
[2,  5000] loss: 1.311
[2,  5500] loss: 1.291
[2,  6000] loss: 1.292
[2,  6500] loss: 1.283
[2,  7000] loss: 1.299
[2,  7500] loss: 1.299
[2,  8000] loss: 1.307
[2,  8500] loss: 1.262
[2,  9000] loss: 1.272
[2,  9500] loss: 1.275
[2, 10000] loss: 1.293
[2, 10500] loss: 1.231
[2, 11000] loss: 1.233
[2, 11500] loss: 1.237
[2, 12000] loss: 1.237
[2, 12500] loss: 1.248
--> Accuracy after epoch 1: 54 %
[3,   500] loss: 1.183
[3,  1000] loss: 1.177
[3,  1500] loss: 1.163
[3,  2000] loss: 1.140
[3,  2500] loss: 1.119
[3,  3000] loss: 1.187
[3,  3500] loss: 1.151
[3,  4000] loss: 1.157
[3,  4500] loss: 1.154
[3,  5000] loss: 1.154
[3,  5500] loss: 1.102
[3,  6000] loss: 1.150
[3,  6500] loss: 1.155
[3,  7000] loss: 1.145
[3,  7500] loss: 1.114
[3,  8000] loss: 1.102
[3,  8500] loss: 1.172
[3,  9000] loss: 1.104
[3,  9500] loss: 1.080
[3, 10000] loss: 1.137
[3, 10500] loss: 1.129
[3, 11000] loss: 1.087
[3, 11500] loss: 1.066
[3, 12000] loss: 1.086
[3, 12500] loss: 1.102
--> Accuracy after epoch 2: 56 %
[4,   500] loss: 1.018
[4,  1000] loss: 1.010
[4,  1500] loss: 1.026
[4,  2000] loss: 1.013
[4,  2500] loss: 1.013
[4,  3000] loss: 1.017
[4,  3500] loss: 1.007
[4,  4000] loss: 1.034
[4,  4500] loss: 1.058
